Sample,Predicted Label,Probability for Basic,Probability for Deluxe,Probability for King,Probability for Standard,Probability for Super Deluxe
1109,Deluxe,0.09,0.69,0.02,0.2,0.0
1110,King,0.01,0.08,0.64,0.27,0.0
1111,Standard,0.02,0.17,0.03,0.78,0.0
1112,King,0.01,0.08,0.64,0.27,0.0
1113,King,0.01,0.08,0.64,0.27,0.0
1114,Standard,0.02,0.17,0.03,0.78,0.0
1115,King,0.01,0.08,0.64,0.27,0.0
1116,Standard,0.02,0.17,0.03,0.78,0.0
1117,Standard,0.02,0.17,0.03,0.78,0.0
1118,King,0.01,0.08,0.64,0.27,0.0
1119,King,0.01,0.08,0.64,0.27,0.0
1120,King,0.01,0.08,0.64,0.27,0.0
1121,Standard,0.02,0.17,0.03,0.78,0.0
1122,King,0.01,0.08,0.64,0.27,0.0
1123,King,0.01,0.08,0.64,0.27,0.0
1124,King,0.01,0.08,0.64,0.27,0.0
1125,King,0.01,0.08,0.64,0.27,0.0
1126,Deluxe,0.09,0.69,0.02,0.2,0.0
1127,Standard,0.02,0.17,0.03,0.78,0.0
1128,King,0.01,0.08,0.64,0.27,0.0
1129,Deluxe,0.09,0.69,0.02,0.2,0.0
1130,King,0.01,0.08,0.64,0.27,0.0
1131,King,0.01,0.08,0.64,0.27,0.0
1132,King,0.01,0.08,0.64,0.27,0.0
1133,King,0.01,0.08,0.64,0.27,0.0
1134,King,0.01,0.08,0.64,0.27,0.0
1135,King,0.01,0.08,0.64,0.27,0.0
1136,Standard,0.02,0.17,0.03,0.78,0.0
1137,Standard,0.02,0.17,0.03,0.78,0.0
1138,King,0.01,0.08,0.64,0.27,0.0
1139,King,0.01,0.08,0.64,0.27,0.0
1140,King,0.01,0.08,0.64,0.27,0.0
1141,King,0.01,0.08,0.64,0.27,0.0
1142,Standard,0.02,0.17,0.03,0.78,0.0
1143,King,0.01,0.08,0.64,0.27,0.0
1144,King,0.01,0.08,0.64,0.27,0.0
1145,King,0.01,0.08,0.64,0.27,0.0
1146,King,0.01,0.08,0.64,0.27,0.0
1147,King,0.01,0.08,0.64,0.27,0.0
1148,Deluxe,0.09,0.69,0.02,0.2,0.0
1149,Standard,0.02,0.17,0.03,0.78,0.0
1150,King,0.01,0.08,0.64,0.27,0.0
1151,King,0.01,0.08,0.64,0.27,0.0
1152,King,0.01,0.08,0.64,0.27,0.0
1153,Standard,0.02,0.17,0.03,0.78,0.0
1154,Standard,0.02,0.17,0.03,0.78,0.0
1155,Standard,0.02,0.17,0.03,0.78,0.0
1156,King,0.01,0.08,0.64,0.27,0.0
1157,King,0.01,0.08,0.64,0.27,0.0
1158,Standard,0.02,0.17,0.03,0.78,0.0
1159,King,0.01,0.08,0.64,0.27,0.0
1160,King,0.01,0.08,0.64,0.27,0.0
1161,King,0.01,0.08,0.64,0.27,0.0
1162,Standard,0.02,0.17,0.03,0.78,0.0
1163,King,0.01,0.08,0.64,0.27,0.0
1164,King,0.01,0.08,0.64,0.27,0.0
1165,King,0.01,0.08,0.64,0.27,0.0
1166,King,0.01,0.08,0.64,0.27,0.0
1167,King,0.01,0.08,0.64,0.27,0.0
1168,King,0.01,0.08,0.64,0.27,0.0
1169,Standard,0.02,0.17,0.03,0.78,0.0
1170,King,0.01,0.08,0.64,0.27,0.0
1171,Standard,0.02,0.17,0.03,0.78,0.0
1172,Deluxe,0.09,0.69,0.02,0.2,0.0
1173,King,0.01,0.08,0.64,0.27,0.0
1174,King,0.01,0.08,0.64,0.27,0.0
1175,King,0.01,0.08,0.64,0.27,0.0
1176,King,0.01,0.08,0.64,0.27,0.0
1177,Standard,0.02,0.17,0.03,0.78,0.0
1178,King,0.01,0.08,0.64,0.27,0.0
1179,King,0.01,0.08,0.64,0.27,0.0
1180,Standard,0.02,0.17,0.03,0.78,0.0
1181,Standard,0.02,0.17,0.03,0.78,0.0
1182,Standard,0.02,0.17,0.03,0.78,0.0
1183,King,0.01,0.08,0.64,0.27,0.0
1184,Standard,0.02,0.17,0.03,0.78,0.0
1185,King,0.01,0.08,0.64,0.27,0.0
1186,Standard,0.02,0.17,0.03,0.78,0.0
1187,King,0.01,0.08,0.64,0.27,0.0
1188,King,0.01,0.08,0.64,0.27,0.0
1189,Standard,0.02,0.17,0.03,0.78,0.0
1190,King,0.01,0.08,0.64,0.27,0.0
1191,Standard,0.02,0.17,0.03,0.78,0.0
1192,Standard,0.02,0.17,0.03,0.78,0.0
1193,King,0.01,0.08,0.64,0.27,0.0
1194,King,0.01,0.08,0.64,0.27,0.0
1195,Standard,0.02,0.17,0.03,0.78,0.0
1196,Standard,0.02,0.17,0.03,0.78,0.0
1197,Standard,0.02,0.17,0.03,0.78,0.0
1198,King,0.01,0.08,0.64,0.27,0.0
1199,King,0.01,0.08,0.64,0.27,0.0
1200,King,0.01,0.08,0.64,0.27,0.0
1201,King,0.01,0.08,0.64,0.27,0.0
1202,King,0.01,0.08,0.64,0.27,0.0
1203,Standard,0.02,0.17,0.03,0.78,0.0
1204,Standard,0.02,0.17,0.03,0.78,0.0
1205,Standard,0.02,0.17,0.03,0.78,0.0
1206,King,0.01,0.08,0.64,0.27,0.0
1207,King,0.01,0.08,0.64,0.27,0.0
1208,King,0.01,0.08,0.64,0.27,0.0
1209,King,0.01,0.08,0.64,0.27,0.0
1210,King,0.01,0.08,0.64,0.27,0.0
1211,Deluxe,0.09,0.69,0.02,0.2,0.0
1212,King,0.01,0.08,0.64,0.27,0.0
1213,King,0.01,0.08,0.64,0.27,0.0
1214,King,0.01,0.08,0.64,0.27,0.0
1215,Standard,0.02,0.17,0.03,0.78,0.0
1216,King,0.01,0.08,0.64,0.27,0.0
1217,King,0.01,0.08,0.64,0.27,0.0
1218,King,0.01,0.08,0.64,0.27,0.0
1219,King,0.01,0.08,0.64,0.27,0.0
1220,Standard,0.02,0.17,0.03,0.78,0.0
1221,King,0.01,0.08,0.64,0.27,0.0
1222,Standard,0.02,0.17,0.03,0.78,0.0
1223,Standard,0.02,0.17,0.03,0.78,0.0
1224,King,0.01,0.08,0.64,0.27,0.0
1225,Standard,0.02,0.17,0.03,0.78,0.0
1226,Deluxe,0.09,0.69,0.02,0.2,0.0
1227,King,0.01,0.08,0.64,0.27,0.0
1228,Standard,0.02,0.17,0.03,0.78,0.0
1229,King,0.01,0.08,0.64,0.27,0.0
1230,King,0.01,0.08,0.64,0.27,0.0
1231,King,0.01,0.08,0.64,0.27,0.0
1232,King,0.01,0.08,0.64,0.27,0.0
1233,King,0.01,0.08,0.64,0.27,0.0
1234,King,0.01,0.08,0.64,0.27,0.0
1235,Standard,0.02,0.17,0.03,0.78,0.0
1236,Standard,0.02,0.17,0.03,0.78,0.0
1237,Standard,0.02,0.17,0.03,0.78,0.0
1238,Standard,0.02,0.17,0.03,0.78,0.0
1239,Standard,0.02,0.17,0.03,0.78,0.0
1240,King,0.01,0.08,0.64,0.27,0.0
1241,King,0.01,0.08,0.64,0.27,0.0
1242,Standard,0.02,0.17,0.03,0.78,0.0
1243,King,0.01,0.08,0.64,0.27,0.0
1244,Standard,0.02,0.17,0.03,0.78,0.0
1245,Standard,0.02,0.17,0.03,0.78,0.0
1246,King,0.01,0.08,0.64,0.27,0.0
1247,Standard,0.02,0.17,0.03,0.78,0.0
1248,Standard,0.02,0.17,0.03,0.78,0.0
1249,Deluxe,0.09,0.69,0.02,0.2,0.0
1250,Standard,0.02,0.17,0.03,0.78,0.0
1251,King,0.01,0.08,0.64,0.27,0.0
1252,King,0.01,0.08,0.64,0.27,0.0
1253,Standard,0.02,0.17,0.03,0.78,0.0
1254,King,0.01,0.08,0.64,0.27,0.0
1255,King,0.01,0.08,0.64,0.27,0.0
1256,King,0.01,0.08,0.64,0.27,0.0
1257,King,0.01,0.08,0.64,0.27,0.0
1258,Standard,0.02,0.17,0.03,0.78,0.0
1259,King,0.01,0.08,0.64,0.27,0.0
1260,Standard,0.02,0.17,0.03,0.78,0.0
1261,Standard,0.02,0.17,0.03,0.78,0.0
1262,Standard,0.02,0.17,0.03,0.78,0.0
1263,Standard,0.02,0.17,0.03,0.78,0.0
1264,King,0.01,0.08,0.64,0.27,0.0
1265,Standard,0.02,0.17,0.03,0.78,0.0
1266,Standard,0.02,0.17,0.03,0.78,0.0
1267,King,0.01,0.08,0.64,0.27,0.0
1268,King,0.01,0.08,0.64,0.27,0.0
1269,King,0.01,0.08,0.64,0.27,0.0
1270,Standard,0.02,0.17,0.03,0.78,0.0
1271,King,0.01,0.08,0.64,0.27,0.0
1272,Standard,0.02,0.17,0.03,0.78,0.0
1273,King,0.01,0.08,0.64,0.27,0.0
1274,King,0.01,0.08,0.64,0.27,0.0
1275,King,0.01,0.08,0.64,0.27,0.0
1276,King,0.01,0.08,0.64,0.27,0.0
1277,King,0.01,0.08,0.64,0.27,0.0
1278,Standard,0.02,0.17,0.03,0.78,0.0
1279,King,0.01,0.08,0.64,0.27,0.0
1280,King,0.01,0.08,0.64,0.27,0.0
1281,King,0.01,0.08,0.64,0.27,0.0
1282,King,0.01,0.08,0.64,0.27,0.0
1283,King,0.01,0.08,0.64,0.27,0.0
1284,King,0.01,0.08,0.64,0.27,0.0
1285,King,0.01,0.08,0.64,0.27,0.0
1286,Deluxe,0.09,0.69,0.02,0.2,0.0
1287,King,0.01,0.08,0.64,0.27,0.0
1288,King,0.01,0.08,0.64,0.27,0.0
1289,Standard,0.02,0.17,0.03,0.78,0.0
1290,King,0.01,0.08,0.64,0.27,0.0
1291,Standard,0.02,0.17,0.03,0.78,0.0
1292,Standard,0.02,0.17,0.03,0.78,0.0
1293,King,0.01,0.08,0.64,0.27,0.0
1294,Standard,0.02,0.17,0.03,0.78,0.0
1295,King,0.01,0.08,0.64,0.27,0.0
1296,King,0.01,0.08,0.64,0.27,0.0
1297,King,0.01,0.08,0.64,0.27,0.0
1298,King,0.01,0.08,0.64,0.27,0.0
1299,King,0.01,0.08,0.64,0.27,0.0
1300,King,0.01,0.08,0.64,0.27,0.0
1301,Standard,0.02,0.17,0.03,0.78,0.0
1302,King,0.01,0.08,0.64,0.27,0.0
1303,King,0.01,0.08,0.64,0.27,0.0
1304,King,0.01,0.08,0.64,0.27,0.0
1305,King,0.01,0.08,0.64,0.27,0.0
1306,Standard,0.02,0.17,0.03,0.78,0.0
1307,Standard,0.02,0.17,0.03,0.78,0.0
1308,King,0.01,0.08,0.64,0.27,0.0
1309,Deluxe,0.09,0.69,0.02,0.2,0.0
1310,King,0.01,0.08,0.64,0.27,0.0
1311,King,0.01,0.08,0.64,0.27,0.0
1312,King,0.01,0.08,0.64,0.27,0.0
1313,King,0.01,0.08,0.64,0.27,0.0
1314,King,0.01,0.08,0.64,0.27,0.0
1315,King,0.01,0.08,0.64,0.27,0.0
1316,King,0.01,0.08,0.64,0.27,0.0
1317,Deluxe,0.09,0.69,0.02,0.2,0.0
1318,King,0.01,0.08,0.64,0.27,0.0
1319,Standard,0.02,0.17,0.03,0.78,0.0
1320,King,0.01,0.08,0.64,0.27,0.0
1321,King,0.01,0.08,0.64,0.27,0.0
1322,King,0.01,0.08,0.64,0.27,0.0
1323,King,0.01,0.08,0.64,0.27,0.0
1324,Standard,0.02,0.17,0.03,0.78,0.0
1325,Standard,0.02,0.17,0.03,0.78,0.0
1326,King,0.01,0.08,0.64,0.27,0.0
1327,Deluxe,0.09,0.69,0.02,0.2,0.0
1328,Standard,0.02,0.17,0.03,0.78,0.0
1329,King,0.01,0.08,0.64,0.27,0.0
1330,King,0.01,0.08,0.64,0.27,0.0
1331,King,0.01,0.08,0.64,0.27,0.0
1332,King,0.01,0.08,0.64,0.27,0.0
1333,Standard,0.02,0.17,0.03,0.78,0.0
1334,Deluxe,0.09,0.69,0.02,0.2,0.0
1335,Standard,0.02,0.17,0.03,0.78,0.0
1336,King,0.01,0.08,0.64,0.27,0.0
1337,King,0.01,0.08,0.64,0.27,0.0
1338,Standard,0.02,0.17,0.03,0.78,0.0
1339,Standard,0.02,0.17,0.03,0.78,0.0
1340,King,0.01,0.08,0.64,0.27,0.0
1341,Standard,0.02,0.17,0.03,0.78,0.0
1342,King,0.01,0.08,0.64,0.27,0.0
1343,King,0.01,0.08,0.64,0.27,0.0
1344,Standard,0.02,0.17,0.03,0.78,0.0
1345,King,0.01,0.08,0.64,0.27,0.0
1346,King,0.01,0.08,0.64,0.27,0.0
1347,King,0.01,0.08,0.64,0.27,0.0
1348,King,0.01,0.08,0.64,0.27,0.0
1349,Standard,0.02,0.17,0.03,0.78,0.0
1350,King,0.01,0.08,0.64,0.27,0.0
1351,Standard,0.02,0.17,0.03,0.78,0.0
1352,King,0.01,0.08,0.64,0.27,0.0
1353,Standard,0.02,0.17,0.03,0.78,0.0
1354,Standard,0.02,0.17,0.03,0.78,0.0
1355,Deluxe,0.09,0.69,0.02,0.2,0.0
1356,Standard,0.02,0.17,0.03,0.78,0.0
1357,Standard,0.02,0.17,0.03,0.78,0.0
1358,King,0.01,0.08,0.64,0.27,0.0
1359,King,0.01,0.08,0.64,0.27,0.0
1360,King,0.01,0.08,0.64,0.27,0.0
1361,King,0.01,0.08,0.64,0.27,0.0
1362,King,0.01,0.08,0.64,0.27,0.0
1363,King,0.01,0.08,0.64,0.27,0.0
1364,King,0.01,0.08,0.64,0.27,0.0
1365,Standard,0.02,0.17,0.03,0.78,0.0
1366,King,0.01,0.08,0.64,0.27,0.0
1367,Standard,0.02,0.17,0.03,0.78,0.0
1368,Standard,0.02,0.17,0.03,0.78,0.0
1369,Standard,0.02,0.17,0.03,0.78,0.0
1370,Standard,0.02,0.17,0.03,0.78,0.0
1371,King,0.01,0.08,0.64,0.27,0.0
1372,Standard,0.02,0.17,0.03,0.78,0.0
1373,King,0.01,0.08,0.64,0.27,0.0
1374,Standard,0.02,0.17,0.03,0.78,0.0
1375,King,0.01,0.08,0.64,0.27,0.0
1376,King,0.01,0.08,0.64,0.27,0.0
1377,Standard,0.02,0.17,0.03,0.78,0.0
1378,Standard,0.02,0.17,0.03,0.78,0.0
1379,Standard,0.02,0.17,0.03,0.78,0.0
1380,King,0.01,0.08,0.64,0.27,0.0
1381,King,0.01,0.08,0.64,0.27,0.0
1382,Standard,0.02,0.17,0.03,0.78,0.0
1383,Standard,0.02,0.17,0.03,0.78,0.0
1384,King,0.01,0.08,0.64,0.27,0.0
1385,Standard,0.02,0.17,0.03,0.78,0.0
1386,Standard,0.02,0.17,0.03,0.78,0.0
1387,Standard,0.02,0.17,0.03,0.78,0.0
1388,Standard,0.02,0.17,0.03,0.78,0.0
1389,King,0.01,0.08,0.64,0.27,0.0
1390,Standard,0.02,0.17,0.03,0.78,0.0
1391,King,0.01,0.08,0.64,0.27,0.0
1392,King,0.01,0.08,0.64,0.27,0.0
1393,King,0.01,0.08,0.64,0.27,0.0
1394,Deluxe,0.09,0.69,0.02,0.2,0.0
1395,King,0.01,0.08,0.64,0.27,0.0
1396,Standard,0.02,0.17,0.03,0.78,0.0
1397,Standard,0.02,0.17,0.03,0.78,0.0
1398,Deluxe,0.09,0.69,0.02,0.2,0.0
1399,Standard,0.02,0.17,0.03,0.78,0.0
1400,King,0.01,0.08,0.64,0.27,0.0
1401,King,0.01,0.08,0.64,0.27,0.0
1402,King,0.01,0.08,0.64,0.27,0.0
1403,King,0.01,0.08,0.64,0.27,0.0
1404,King,0.01,0.08,0.64,0.27,0.0
1405,King,0.01,0.08,0.64,0.27,0.0
1406,Standard,0.02,0.17,0.03,0.78,0.0
1407,King,0.01,0.08,0.64,0.27,0.0
1408,Standard,0.02,0.17,0.03,0.78,0.0
1409,Standard,0.02,0.17,0.03,0.78,0.0
1410,King,0.01,0.08,0.64,0.27,0.0
1411,King,0.01,0.08,0.64,0.27,0.0
1412,King,0.01,0.08,0.64,0.27,0.0
1413,King,0.01,0.08,0.64,0.27,0.0
1414,King,0.01,0.08,0.64,0.27,0.0
1415,King,0.01,0.08,0.64,0.27,0.0
1416,King,0.01,0.08,0.64,0.27,0.0
1417,King,0.01,0.08,0.64,0.27,0.0
1418,King,0.01,0.08,0.64,0.27,0.0
1419,Standard,0.02,0.17,0.03,0.78,0.0
1420,King,0.01,0.08,0.64,0.27,0.0
1421,King,0.01,0.08,0.64,0.27,0.0
1422,King,0.01,0.08,0.64,0.27,0.0
1423,Standard,0.02,0.17,0.03,0.78,0.0
1424,Standard,0.02,0.17,0.03,0.78,0.0
1425,King,0.01,0.08,0.64,0.27,0.0
1426,King,0.01,0.08,0.64,0.27,0.0
1427,Standard,0.02,0.17,0.03,0.78,0.0
1428,King,0.01,0.08,0.64,0.27,0.0
1429,Standard,0.02,0.17,0.03,0.78,0.0
1430,King,0.01,0.08,0.64,0.27,0.0
1431,Deluxe,0.09,0.69,0.02,0.2,0.0
1432,King,0.01,0.08,0.64,0.27,0.0
1433,Standard,0.02,0.17,0.03,0.78,0.0
1434,Standard,0.02,0.17,0.03,0.78,0.0
1435,King,0.01,0.08,0.64,0.27,0.0
1436,King,0.01,0.08,0.64,0.27,0.0
1437,King,0.01,0.08,0.64,0.27,0.0
1438,King,0.01,0.08,0.64,0.27,0.0
1439,King,0.01,0.08,0.64,0.27,0.0
1440,Standard,0.02,0.17,0.03,0.78,0.0
1441,King,0.01,0.08,0.64,0.27,0.0
1442,Standard,0.02,0.17,0.03,0.78,0.0
1443,King,0.01,0.08,0.64,0.27,0.0
1444,King,0.01,0.08,0.64,0.27,0.0
1445,Standard,0.02,0.17,0.03,0.78,0.0
1446,King,0.01,0.08,0.64,0.27,0.0
1447,King,0.01,0.08,0.64,0.27,0.0
1448,King,0.01,0.08,0.64,0.27,0.0
1449,Standard,0.02,0.17,0.03,0.78,0.0
1450,King,0.01,0.08,0.64,0.27,0.0
1451,Standard,0.02,0.17,0.03,0.78,0.0
1452,Standard,0.02,0.17,0.03,0.78,0.0
1453,King,0.01,0.08,0.64,0.27,0.0
1454,King,0.01,0.08,0.64,0.27,0.0
1455,Deluxe,0.09,0.69,0.02,0.2,0.0
1456,King,0.01,0.08,0.64,0.27,0.0
1457,King,0.01,0.08,0.64,0.27,0.0
1458,King,0.01,0.08,0.64,0.27,0.0
1459,Deluxe,0.09,0.69,0.02,0.2,0.0
1460,Standard,0.02,0.17,0.03,0.78,0.0
1461,King,0.01,0.08,0.64,0.27,0.0
1462,Standard,0.02,0.17,0.03,0.78,0.0
1463,King,0.01,0.08,0.64,0.27,0.0
1464,Standard,0.02,0.17,0.03,0.78,0.0
1465,King,0.01,0.08,0.64,0.27,0.0
1466,King,0.01,0.08,0.64,0.27,0.0
1467,King,0.01,0.08,0.64,0.27,0.0
1468,King,0.01,0.08,0.64,0.27,0.0
1469,King,0.01,0.08,0.64,0.27,0.0
1470,Deluxe,0.09,0.69,0.02,0.2,0.0
1471,King,0.01,0.08,0.64,0.27,0.0
1472,King,0.01,0.08,0.64,0.27,0.0
1473,King,0.01,0.08,0.64,0.27,0.0
1474,King,0.01,0.08,0.64,0.27,0.0
1475,Standard,0.02,0.17,0.03,0.78,0.0
1476,King,0.01,0.08,0.64,0.27,0.0
1477,Standard,0.02,0.17,0.03,0.78,0.0
1478,King,0.01,0.08,0.64,0.27,0.0
1479,King,0.01,0.08,0.64,0.27,0.0
1480,Standard,0.02,0.17,0.03,0.78,0.0
1481,Standard,0.02,0.17,0.03,0.78,0.0
1482,Deluxe,0.09,0.69,0.02,0.2,0.0
1483,King,0.01,0.08,0.64,0.27,0.0
1484,Standard,0.02,0.17,0.03,0.78,0.0
1485,King,0.01,0.08,0.64,0.27,0.0
1486,Deluxe,0.09,0.69,0.02,0.2,0.0
1487,Standard,0.02,0.17,0.03,0.78,0.0
1488,King,0.01,0.08,0.64,0.27,0.0
1489,King,0.01,0.08,0.64,0.27,0.0
1490,King,0.01,0.08,0.64,0.27,0.0
1491,King,0.01,0.08,0.64,0.27,0.0
1492,King,0.01,0.08,0.64,0.27,0.0
1493,King,0.01,0.08,0.64,0.27,0.0
1494,King,0.01,0.08,0.64,0.27,0.0
1495,Standard,0.02,0.17,0.03,0.78,0.0
1496,King,0.01,0.08,0.64,0.27,0.0
1497,King,0.01,0.08,0.64,0.27,0.0
1498,Standard,0.02,0.17,0.03,0.78,0.0
1499,King,0.01,0.08,0.64,0.27,0.0
1500,Deluxe,0.09,0.69,0.02,0.2,0.0
1501,Standard,0.02,0.17,0.03,0.78,0.0
1502,Deluxe,0.09,0.69,0.02,0.2,0.0
1503,Standard,0.02,0.17,0.03,0.78,0.0
1504,King,0.01,0.08,0.64,0.27,0.0
1505,King,0.01,0.08,0.64,0.27,0.0
1506,King,0.01,0.08,0.64,0.27,0.0
1507,King,0.01,0.08,0.64,0.27,0.0
1508,King,0.01,0.08,0.64,0.27,0.0
1509,King,0.01,0.08,0.64,0.27,0.0
1510,King,0.01,0.08,0.64,0.27,0.0
1511,King,0.01,0.08,0.64,0.27,0.0
1512,King,0.01,0.08,0.64,0.27,0.0
1513,King,0.01,0.08,0.64,0.27,0.0
1514,King,0.01,0.08,0.64,0.27,0.0
1515,King,0.01,0.08,0.64,0.27,0.0
1516,King,0.01,0.08,0.64,0.27,0.0
1517,King,0.01,0.08,0.64,0.27,0.0
1518,King,0.01,0.08,0.64,0.27,0.0
1519,Standard,0.02,0.17,0.03,0.78,0.0
1520,King,0.01,0.08,0.64,0.27,0.0
1521,King,0.01,0.08,0.64,0.27,0.0
1522,King,0.01,0.08,0.64,0.27,0.0
1523,King,0.01,0.08,0.64,0.27,0.0
1524,King,0.01,0.08,0.64,0.27,0.0
1525,King,0.01,0.08,0.64,0.27,0.0
1526,King,0.01,0.08,0.64,0.27,0.0
1527,Standard,0.02,0.17,0.03,0.78,0.0
1528,King,0.01,0.08,0.64,0.27,0.0
1529,King,0.01,0.08,0.64,0.27,0.0
1530,Deluxe,0.09,0.69,0.02,0.2,0.0
1531,King,0.01,0.08,0.64,0.27,0.0
1532,Standard,0.02,0.17,0.03,0.78,0.0
1533,Standard,0.02,0.17,0.03,0.78,0.0
1534,King,0.01,0.08,0.64,0.27,0.0
1535,King,0.01,0.08,0.64,0.27,0.0
1536,King,0.01,0.08,0.64,0.27,0.0
1537,King,0.01,0.08,0.64,0.27,0.0
1538,King,0.01,0.08,0.64,0.27,0.0
1539,King,0.01,0.08,0.64,0.27,0.0
1540,King,0.01,0.08,0.64,0.27,0.0
1541,King,0.01,0.08,0.64,0.27,0.0
1542,Standard,0.02,0.17,0.03,0.78,0.0
1543,Standard,0.02,0.17,0.03,0.78,0.0
1544,Standard,0.02,0.17,0.03,0.78,0.0
1545,King,0.01,0.08,0.64,0.27,0.0
1546,King,0.01,0.08,0.64,0.27,0.0
1547,Standard,0.02,0.17,0.03,0.78,0.0
1548,Standard,0.02,0.17,0.03,0.78,0.0
1549,King,0.01,0.08,0.64,0.27,0.0
1550,Standard,0.02,0.17,0.03,0.78,0.0
1551,King,0.01,0.08,0.64,0.27,0.0
1552,King,0.01,0.08,0.64,0.27,0.0
1553,King,0.01,0.08,0.64,0.27,0.0
1554,Standard,0.02,0.17,0.03,0.78,0.0
1555,Deluxe,0.09,0.69,0.02,0.2,0.0
1556,King,0.01,0.08,0.64,0.27,0.0
1557,Standard,0.02,0.17,0.03,0.78,0.0
1558,Standard,0.02,0.17,0.03,0.78,0.0
1559,King,0.01,0.08,0.64,0.27,0.0
1560,Standard,0.02,0.17,0.03,0.78,0.0
1561,King,0.01,0.08,0.64,0.27,0.0
1562,Standard,0.02,0.17,0.03,0.78,0.0
1563,King,0.01,0.08,0.64,0.27,0.0
1564,Deluxe,0.09,0.69,0.02,0.2,0.0
1565,King,0.01,0.08,0.64,0.27,0.0
1566,King,0.01,0.08,0.64,0.27,0.0
1567,King,0.01,0.08,0.64,0.27,0.0
1568,King,0.01,0.08,0.64,0.27,0.0
1569,Standard,0.02,0.17,0.03,0.78,0.0
1570,King,0.01,0.08,0.64,0.27,0.0
1571,King,0.01,0.08,0.64,0.27,0.0
1572,King,0.01,0.08,0.64,0.27,0.0
1573,Standard,0.02,0.17,0.03,0.78,0.0
1574,King,0.01,0.08,0.64,0.27,0.0
1575,Deluxe,0.09,0.69,0.02,0.2,0.0
1576,King,0.01,0.08,0.64,0.27,0.0
1577,King,0.01,0.08,0.64,0.27,0.0
1578,King,0.01,0.08,0.64,0.27,0.0
1579,King,0.01,0.08,0.64,0.27,0.0
1580,Standard,0.02,0.17,0.03,0.78,0.0
1581,Deluxe,0.09,0.69,0.02,0.2,0.0
1582,King,0.01,0.08,0.64,0.27,0.0
1583,King,0.01,0.08,0.64,0.27,0.0
1584,King,0.01,0.08,0.64,0.27,0.0
1585,King,0.01,0.08,0.64,0.27,0.0
1586,King,0.01,0.08,0.64,0.27,0.0
1587,Standard,0.02,0.17,0.03,0.78,0.0
1588,King,0.01,0.08,0.64,0.27,0.0
1589,Standard,0.02,0.17,0.03,0.78,0.0
1590,Standard,0.02,0.17,0.03,0.78,0.0
1591,King,0.01,0.08,0.64,0.27,0.0
1592,King,0.01,0.08,0.64,0.27,0.0
1593,Deluxe,0.09,0.69,0.02,0.2,0.0
1594,Deluxe,0.09,0.69,0.02,0.2,0.0
1595,Standard,0.02,0.17,0.03,0.78,0.0
1596,King,0.01,0.08,0.64,0.27,0.0
1597,King,0.01,0.08,0.64,0.27,0.0
1598,Deluxe,0.09,0.69,0.02,0.2,0.0
1599,Standard,0.02,0.17,0.03,0.78,0.0
1600,King,0.01,0.08,0.64,0.27,0.0
1601,Standard,0.02,0.17,0.03,0.78,0.0
1602,King,0.01,0.08,0.64,0.27,0.0
1603,King,0.01,0.08,0.64,0.27,0.0
1604,Standard,0.02,0.17,0.03,0.78,0.0
1605,King,0.01,0.08,0.64,0.27,0.0
1606,Standard,0.02,0.17,0.03,0.78,0.0
1607,King,0.01,0.08,0.64,0.27,0.0
1608,King,0.01,0.08,0.64,0.27,0.0
1609,Deluxe,0.09,0.69,0.02,0.2,0.0
1610,King,0.01,0.08,0.64,0.27,0.0
1611,King,0.01,0.08,0.64,0.27,0.0
1612,Deluxe,0.09,0.69,0.02,0.2,0.0
1613,Standard,0.02,0.17,0.03,0.78,0.0
1614,King,0.01,0.08,0.64,0.27,0.0
1615,King,0.01,0.08,0.64,0.27,0.0
1616,King,0.01,0.08,0.64,0.27,0.0
1617,King,0.01,0.08,0.64,0.27,0.0
1618,Deluxe,0.09,0.69,0.02,0.2,0.0
1619,King,0.01,0.08,0.64,0.27,0.0
1620,King,0.01,0.08,0.64,0.27,0.0
1621,King,0.01,0.08,0.64,0.27,0.0
1622,King,0.01,0.08,0.64,0.27,0.0
1623,King,0.01,0.08,0.64,0.27,0.0
1624,King,0.01,0.08,0.64,0.27,0.0
1625,King,0.01,0.08,0.64,0.27,0.0
1626,King,0.01,0.08,0.64,0.27,0.0
1627,Deluxe,0.09,0.69,0.02,0.2,0.0
1628,King,0.01,0.08,0.64,0.27,0.0
1629,King,0.01,0.08,0.64,0.27,0.0
1630,Standard,0.02,0.17,0.03,0.78,0.0
1631,King,0.01,0.08,0.64,0.27,0.0
1632,King,0.01,0.08,0.64,0.27,0.0
1633,King,0.01,0.08,0.64,0.27,0.0
1634,Standard,0.02,0.17,0.03,0.78,0.0
1635,King,0.01,0.08,0.64,0.27,0.0
1636,Standard,0.02,0.17,0.03,0.78,0.0
1637,King,0.01,0.08,0.64,0.27,0.0
1638,Standard,0.02,0.17,0.03,0.78,0.0
1639,Standard,0.02,0.17,0.03,0.78,0.0
1640,King,0.01,0.08,0.64,0.27,0.0
1641,King,0.01,0.08,0.64,0.27,0.0
1642,Standard,0.02,0.17,0.03,0.78,0.0
1643,King,0.01,0.08,0.64,0.27,0.0
1644,Standard,0.02,0.17,0.03,0.78,0.0
1645,King,0.01,0.08,0.64,0.27,0.0
1646,Deluxe,0.09,0.69,0.02,0.2,0.0
